Compound.and.Iso.name,iso.mz,RT..min.,z,Column,Compound.Name,Emperical.Formula,m.z,C,N,this.N,possibilities,names.isotopes,X,Compound.Type,Compound.Name_old,Compound.Name_figure,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,ionization_form,C0,Fraction1,Fraction2,Conc..uM,HILICMix,Date.added,CHEBI,KEGGNAME
Dimethylglycine_13C-4 15N-0,108.08457,8.97,1,HILIC,Dimethylglycine,C4H9NO2,104.071154,4,N,1,10,13C-4 15N-0,187,Amino Acid derivative,Dimethyl Glycine,DMG,100 - >10000,0.464,11.8,<10 - 1000,0.773,5.2,[M+H],cpd:C01026,HILICPos,NA,4,Mix1,160401,CHEBI:17724,"N,N-Dimethylglycine; Dimethylglycine"
Dimethylglycine_13C-4 15N-1,109.081606,8.97,1,HILIC,Dimethylglycine,C4H9NO2,104.071154,4,N,1,10,13C-4 15N-1,187,Amino Acid derivative,Dimethyl Glycine,DMG,100 - >10000,0.464,11.8,<10 - 1000,0.773,5.2,[M+H],cpd:C01026,HILICPos,NA,4,Mix1,160401,CHEBI:17724,"N,N-Dimethylglycine; Dimethylglycine"
Glycine betaine_13C-0 15N-0,118.086804,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-0 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-0 15N-1,119.08384,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-0 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-1 15N-0,119.090158,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-1 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-1 15N-1,120.087194,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-1 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-2 15N-0,120.093512,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-2 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-2 15N-1,121.090548,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-2 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-3 15N-0,121.096866,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-3 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-3 15N-1,122.093902,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-3 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-4 15N-0,122.10022,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-4 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-4 15N-1,123.097256,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-4 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-5 15N-0,123.103574,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-5 15N-0,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
Glycine betaine_13C-5 15N-1,124.10061,7.86,1,HILIC,Glycine betaine,C5H11NO2,118.086804,5,N,1,12,13C-5 15N-1,163,Amino Acid derivative,Betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,[M+H],cpd:C00719,HILICPos,NA,4,Mix1,160401,CHEBI:17750,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
L-Cystathionine_13C-0 15N-0,223.075255,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-0 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-0 15N-1,224.072291,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-0 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-1 15N-0,224.078609,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-1 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-1 15N-1,225.075645,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-1 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-2 15N-0,225.081963,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-2 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-2 15N-1,226.078999,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-2 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-3 15N-0,226.085317,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-3 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-3 15N-1,227.082353,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-3 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-4 15N-0,227.088671,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-4 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-4 15N-1,228.085707,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-4 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-5 15N-0,228.092025,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-5 15N-0,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Cystathionine_13C-5 15N-1,229.089061,13.14,1,HILIC,L-Cystathionine,C7H14N2O4S,223.075255,7,N2,2,24,13C-5 15N-1,177,Amino Acid synthesis,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,[M+H],cpd:C02291,HILICPos,NA,4,Mix2,160401,CHEBI:17482,L-Cystathionine
L-Homocysteine_13C-0 15N-0,136.043226,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-0 15N-0,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-0 15N-1,137.040262,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-0 15N-1,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-1 15N-0,137.04658,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-1 15N-0,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-1 15N-1,138.043616,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-1 15N-1,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-2 15N-0,138.049934,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-2 15N-0,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-2 15N-1,139.04697,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-2 15N-1,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-3 15N-0,139.053288,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-3 15N-0,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-3 15N-1,140.050324,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-3 15N-1,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-4 15N-0,140.056642,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-4 15N-0,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
L-Homocysteine_13C-4 15N-1,141.053678,8.7,1,HILIC,L-Homocysteine,C4H9NO2S,136.043226,4,N,1,10,13C-4 15N-1,240,Amino Acid synthesis,L-Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,[M+H],cpd:C00155,HILICPos,NA,4,Mix2,160401,CHEBI:17588,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
S-Adenosylhomocysteine_13C-0 15N-0,385.129416,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-0 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-0 15N-1,386.126452,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-0 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-1 15N-0,386.13277,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-1 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-1 15N-1,387.129806,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-1 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-2 15N-0,387.136124,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-2 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-2 15N-1,388.13316,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-2 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-3 15N-0,388.139478,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-3 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-3 15N-1,389.136514,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-3 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-4 15N-0,389.142832,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-4 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-4 15N-1,390.139868,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-4 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-5 15N-0,390.146186,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-5 15N-0,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylhomocysteine_13C-5 15N-1,391.143222,10.85,1,HILIC,S-Adenosylhomocysteine,C14H20N6O5S,385.129416,14,N6,6,105,13C-5 15N-1,151,Amino Acid synthesis,Adenosyl Homocysteine,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,[M+H],cpd:C00021,HILICPos,NA,4,Mix1,160401,CHEBI:16680,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine
S-Adenosylmethionine_13C-0 15N-0,399.145066,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-0 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-0 15N-1,400.142102,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-0 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-1 15N-0,400.14842,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-1 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-1 15N-1,401.145456,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-1 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-2 15N-0,401.151774,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-2 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-2 15N-1,402.14881,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-2 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-3 15N-0,402.155128,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-3 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-3 15N-1,403.152164,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-3 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-4 15N-0,403.158482,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-4 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-4 15N-1,404.155518,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-4 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-5 15N-0,404.161836,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-5 15N-0,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
S-Adenosylmethionine_13C-5 15N-1,405.158872,13.01,1,HILIC,S-Adenosylmethionine,C15H22N6O5S,399.145066,15,N6,6,112,13C-5 15N-1,152,Amino Acid synthesis,Adenosyl Methionine,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,[M+H],cpd:C00019,HILICPos,NA,4,Mix1,160401,CHEBI:15414,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM
Chitobiose_13C-0 15N-0,425.177138,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-0 15N-0,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
Chitobiose_13C-0 15N-1,426.174174,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-0 15N-1,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
Chitobiose_13C-1 15N-0,426.180492,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-1 15N-0,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
Chitobiose_13C-1 15N-1,427.177528,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-1 15N-1,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
Chitobiose_13C-2 15N-0,427.183846,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-2 15N-0,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
Chitobiose_13C-2 15N-1,428.180882,10.21,1,HILIC,Chitobiose,C16H28N2O11,425.177138,16,N2,2,51,13C-2 15N-1,168,Amino sugar,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,[M+H],cpd:C01674,HILICPos,NA,4,Mix2,160401,CHEBI:28681,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose"
