Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Fraction1,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea,iso.mz,RT..min.,Column,Blk.Max.Area,Area.less.blk,Area.filled.w.background,all.area,MID,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),total.GBT.nM.in.sample,total.GBT.nM.in.sample.sd,GBT.nM,GBT.nM.sd
Glycine betaine,200605_Smp_GBTFate2MT12-pos_A,Glycine betaine_13C-0 15N-1,7.95,2083507,0,133976,HILICPos,1,0,200605,Smp,GBTFate2MT12,pos,A,12,Fate2,ok,ok,ok,ok,all ok,2083507,119.08384,7.86,HILIC,74922,2008585,2008585,3866920690,5.194275137822907e-4,1900,2,13,7,1.2168564699758444,0.05576292004233492,6.320687308294476e-4,2.89647949188307e-5
Glycine betaine,200605_Smp_GBTFate2MT12-pos_B,Glycine betaine_13C-0 15N-1,7.93,2039919,87252,174940,HILICPos,1,0,200605,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,2039919,119.08384,7.86,HILIC,74922,1964997,1964997,4805483349,4.089072539204422e-4,1900,2,13,7,1.5187788803841433,0.06959863168622438,6.210397012902439e-4,2.845938535943429e-5
Glycine betaine,200605_Smp_GBTFate2MT12-pos_C,Glycine betaine_13C-0 15N-1,7.97,1945644,0,135637,HILICPos,1,0,200605,Smp,GBTFate2MT12,pos,C,12,Fate2,ok,ok,ok,ok,all ok,1945644,119.08384,7.86,HILIC,74922,1870722,1870722,3991647111,4.686591644949648e-4,1900,2,13,7,1.253344034731659,0.05743497685940425,5.873911681420874e-4,2.6917428267716033e-5
Glycine betaine,200605_Smp_GBTFate2MT24-pos_A,Glycine betaine_13C-0 15N-1,8.02,1657890,0,109795,HILICPos,1,0,200605,Smp,GBTFate2MT24,pos,A,24,Fate2,ok,ok,ok,ok,all ok,1657890,119.08384,7.86,HILIC,74922,1582968,1582968,4411979127,3.5878864211136144e-4,700,2,25,12,1.484464650151627,0.0680261687672344,5.326090560902195e-4,2.4407016720034335e-5
Glycine betaine,200605_Smp_GBTFate2MT24-pos_B,Glycine betaine_13C-0 15N-1,7.96,2115645,0,151211,HILICPos,1,0,200605,Smp,GBTFate2MT24,pos,B,24,Fate2,ok,ok,ok,ok,all ok,2115645,119.08384,7.86,HILIC,74922,2040723,2040723,6232642520,3.274250036724391e-4,700,2,25,12,1.9003603435931633,0.08708475034324573,6.222254924799491e-4,2.8513724700950674e-5
Glycine betaine,200605_Smp_GBTFate2MT24-pos_C,Glycine betaine_13C-0 15N-1,8.01,2025217,0,129660,HILICPos,1,0,200605,Smp,GBTFate2MT24,pos,C,24,Fate2,ok,ok,ok,ok,all ok,2025217,119.08384,7.86,HILIC,74922,1950295,1950295,5813655157,3.354679538657748e-4,700,2,25,12,1.8894195807644454,0.0865833856401168,6.338397207529785e-4,2.9045951219461295e-5
Glycine betaine,200605_Smp_GBTFate2MT48-pos_A,Glycine betaine_13C-0 15N-1,7.94,2076609,0,156455,HILICPos,1,0,200605,Smp,GBTFate2MT48,pos,A,48,Fate2,ok,ok,ok,ok,all ok,2076609,119.08384,7.86,HILIC,74922,2001687,2001687,5761912670,3.473997463415217e-4,900,2,51,26,1.780396199417159,0.0815873468739882,6.185091880649303e-4,2.8343423608701247e-5
Glycine betaine,200605_Smp_GBTFate2MT48-pos_B,Glycine betaine_13C-0 15N-1,7.95,1949535,2000,130857,HILICPos,1,0,200605,Smp,GBTFate2MT48,pos,B,48,Fate2,ok,ok,ok,ok,all ok,1949535,119.08384,7.86,HILIC,74922,1874613,1874613,7017527197,2.6713298678790996e-4,900,2,51,26,2.3208271553496553,0.10635280519025508,6.199694898270422e-4,2.8410342503745574e-5
Glycine betaine,200605_Smp_GBTFate2MT48-pos_C,Glycine betaine_13C-0 15N-1,7.96,2445492,0,144890,HILICPos,1,0,200605,Smp,GBTFate2MT48,pos,C,48,Fate2,ok,ok,ok,ok,all ok,2445492,119.08384,7.86,HILIC,74922,2370570,2370570,7415374127,3.196831285111503e-4,900,2,51,26,2.253467142919579,0.10326600647580719,7.203954262456145e-4,3.301240001903875e-5
Glycine betaine,200605_Smp_GBTFate2MT5-pos_A,Glycine betaine_13C-0 15N-1,8.03,1302975,0,80805,HILICPos,1,0,200605,Smp,GBTFate2MT5,pos,A,5,Fate2,ok,ok,ok,ok,all ok,1302975,119.08384,7.86,HILIC,74922,1228053,1228053,2365046706,5.192510561776618e-4,1300,2,6,5.75,0.823149447946153,0.03772114294599152,4.274212202380992e-4,1.9586743314934654e-5
Glycine betaine,200605_Smp_GBTFate2MT5-pos_B,Glycine betaine_13C-0 15N-1,7.96,2354060,0,186228,HILICPos,1,0,200605,Smp,GBTFate2MT5,pos,B,5,Fate2,ok,ok,ok,ok,all ok,2354060,119.08384,7.86,HILIC,74922,2279138,2279138,4361279685,5.225846917909829e-4,1300,2,6,5.75,1.3939611934709615,0.06387881273720147,7.284627806586131e-4,3.3382089666244346e-5
Glycine betaine,200605_Smp_GBTFate2MT5-pos_C,Glycine betaine_13C-0 15N-1,7.94,1406017,0,92816,HILICPos,1,0,200605,Smp,GBTFate2MT5,pos,C,5,Fate2,ok,ok,ok,ok,all ok,1406017,119.08384,7.86,HILIC,74922,1331095,1331095,2867442665,4.6420980487154744e-4,1300,2,6,5.75,0.8580203448942914,0.03931911533328724,3.983014568791968e-4,1.8252318856587137e-5
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_A,Glycine betaine_13C-0 15N-1,7.96,2344574,0,168504,HILICPos,1,0,200605,Smp,GBTFate2MTlong,pos,A,96,Fate2,ok,ok,ok,ok,all ok,2344574,119.08384,7.86,HILIC,74922,2269652,2269652,6626422340,3.425154455216931e-4,1000,2,100,49,2.209071236614829,0.10123154683774656,7.566410187982856e-4,3.4673368365980905e-5
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_B,Glycine betaine_13C-0 15N-1,7.96,1791542,2385,123638,HILICPos,1,0,200605,Smp,GBTFate2MTlong,pos,B,96,Fate2,ok,ok,ok,ok,all ok,1791542,119.08384,7.86,HILIC,74922,1716620,1716620,6364756511,2.697070967339005e-4,1000,2,100,49,2.0969638312654117,0.09609418147469986,5.65566026886591e-4,2.5917282698561865e-5
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_C,Glycine betaine_13C-0 15N-1,7.95,1838697,0,116814,HILICPos,1,0,200605,Smp,GBTFate2MTlong,pos,C,96,Fate2,ok,ok,ok,ok,all ok,1838697,119.08384,7.86,HILIC,74922,1763775,1763775,6258701003,2.818116729261495e-4,1000,2,100,49,1.9351222060015731,0.08867772618043818,5.453400261898443e-4,2.4990418366196294e-5
Glycine betaine,200605_Smp_GBTFate1MT0-pos_A,Glycine betaine_13C-1 15N-0,7.98,65102200,1616598,3995343,HILICPos,0,1,200605,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,65102200,119.090158,7.86,HILIC,562824,64539376,64539376,1416111462,0.045575067875553994,900,2,0.5,0,0.46883913404280114,0.021484735290814735,0.02136737535671662,9.791682691671919e-4
Glycine betaine,200605_Smp_GBTFate1MT0-pos_B,Glycine betaine_13C-1 15N-0,7.99,72384504,1815322,4353041,HILICPos,0,1,200605,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,72384504,119.090158,7.86,HILIC,562824,71821680,71821680,1582791441,0.045376591090626195,900,2,0.5,0,0.5416364454577615,0.02482070034165592,0.0245776155053171,0.0011262787699862866
Glycine betaine,200605_Smp_GBTFate1MT0-pos_C,Glycine betaine_13C-1 15N-0,7.98,108156008,2746942,6588555,HILICPos,0,1,200605,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,108156008,119.090158,7.86,HILIC,562824,107593184,107593184,2384071873,0.04513000854483887,900,1.95,0.5,0,0.8268328671124805,0.03788993705895573,0.037314974357939866,0.0017099731832340788
Glycine betaine,200605_Smp_GBTFate1MT12-pos_A,Glycine betaine_13C-1 15N-0,7.99,66513072,2150710,4052158,HILICPos,0,1,200605,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,66513072,119.090158,7.86,HILIC,562824,65950248,65950248,4370402808,0.01509019898103635,1930,2,12.5,3.5,1.3172142302747538,0.06036185336048296,0.01987702483549867,9.108723780738256e-4
Glycine betaine,200605_Smp_GBTFate1MT12-pos_B,Glycine betaine_13C-1 15N-0,7.98,41424372,1254761,2497499,HILICPos,0,1,200605,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,41424372,119.090158,7.86,HILIC,562824,40861548,40861548,3081739350,0.013259248547415278,1930,2,12.5,3.5,1.041704299592832,0.047736503851686554,0.013812216221212507,6.329501693541587e-4
Glycine betaine,200605_Smp_GBTFate1MT12-pos_C,Glycine betaine_13C-1 15N-0,7.97,43750164,1455893,2781649,HILICPos,0,1,200605,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,43750164,119.090158,7.86,HILIC,562824,43187340,43187340,3418932086,0.012631821549438054,1930,2,12.5,3.5,1.0876936292472323,0.04984398273320971,0.013739551825111674,6.296202951991767e-4
Glycine betaine,200605_Smp_GBTFate1MT36-pos_A,Glycine betaine_13C-1 15N-0,7.98,60956892,2061315,3625179,HILICPos,0,1,200605,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,60956892,119.090158,7.86,HILIC,562824,60394068,60394068,8042021606,0.007509811706417343,1900,2,36,23.5,2.603777343824155,0.11931910740022758,0.019553877577554894,8.960640295534973e-4
Glycine betaine,200605_Smp_GBTFate1MT36-pos_B,Glycine betaine_13C-1 15N-0,8,58562376,2056403,3771249,HILICPos,0,1,200605,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,58562376,119.090158,7.86,HILIC,562824,57999552,57999552,7951864951,0.007293830108710054,1900,2,36,23.5,2.691209204120955,0.12332570633377299,0.019629222721855043,8.995167500352076e-4
Glycine betaine,200605_Smp_GBTFate1MT36-pos_C,Glycine betaine_13C-1 15N-0,7.96,79359272,2064332,4674423,HILICPos,0,1,200605,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,79359272,119.090158,7.86,HILIC,562824,78796448,78796448,10312259693,0.0076410457402936935,1900,2,36,23.5,3.2427091296512245,0.14859840447812236,0.024777688782132958,0.0011354472055519961
Glycine betaine,200605_Smp_GBTFate1MT4-pos_A,Glycine betaine_13C-1 15N-0,8.03,46072340,1122321,2702925,HILICPos,0,1,200605,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,46072340,119.090158,7.86,HILIC,562824,45509516,45509516,1887726747,0.02410810572680835,1200,2,4.5,4.25,0.6318983026278011,0.02895698498034095,0.01523387108834177,6.980980554356611e-4
Glycine betaine,200605_Smp_GBTFate1MT4-pos_B,Glycine betaine_13C-1 15N-0,7.99,67363944,1986909,3862165,HILICPos,0,1,200605,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,67363944,119.090158,7.86,HILIC,562824,66801120,66801120,3258720826,0.020499184669954297,1200,2,4.5,4.25,1.0346583424523355,0.04741362013093432,0.02120965243223924,9.719405549350854e-4
Glycine betaine,200605_Smp_GBTFate1MT4-pos_C,Glycine betaine_13C-1 15N-0,7.98,58180884,2163009,3487289,HILICPos,0,1,200605,Smp,GBTFate1MT4,pos,C,4,Fate1,ok,ok,ok,ok,all ok,58180884,119.090158,7.86,HILIC,562824,57618060,57618060,2487934877,0.02315899042722411,1200,2,4.5,4.25,0.8503859534363009,0.03896926638154336,0.01969408015507714,9.024888670861091e-4
Glycine betaine,200605_Smp_GBTFate1MT50-pos_A,Glycine betaine_13C-1 15N-0,7.98,66707172,1947525,4083452,HILICPos,0,1,200605,Smp,GBTFate1MT50,pos,A,50,Fate1,ok,ok,ok,ok,all ok,66707172,119.090158,7.86,HILIC,562824,66144348,66144348,9019146847,0.007333769936565708,900,2,50,14,2.8746007932837676,0.13172969708802001,0.02108166087741243,9.660752922570284e-4
Glycine betaine,200605_Smp_GBTFate1MT50-pos_B,Glycine betaine_13C-1 15N-0,7.99,37843664,1960200,2312462,HILICPos,0,1,200605,Smp,GBTFate1MT50,pos,B,50,Fate1,ok,ok,ok,ok,all ok,37843664,119.090158,7.86,HILIC,562824,37280840,37280840,6508570849,0.0057279610017194425,900,2,50,14,2.1730518774890673,0.09958094572540185,0.012447156408970593,5.703957736294423e-4
Glycine betaine,200605_Smp_GBTFate1MT50-pos_C,Glycine betaine_13C-1 15N-0,7.97,49805596,1675574,2803237,HILICPos,0,1,200605,Smp,GBTFate1MT50,pos,C,50,Fate1,ok,ok,ok,ok,all ok,49805596,119.090158,7.86,HILIC,562824,49242772,49242772,9397733538,0.005239856163285058,900,2,50,14,2.7974322586842186,0.12819341903811637,0.014658142662038945,6.717150768394582e-4
Glycine betaine,200605_Smp_GBTFate1MT8-pos_A,Glycine betaine_13C-1 15N-0,7.96,39697392,1600553,2563383,HILICPos,0,1,200605,Smp,GBTFate1MT8,pos,A,8,Fate1,ok,ok,ok,ok,all ok,39697392,119.090158,7.86,HILIC,562824,39134568,39134568,2521587362,0.01551981445884166,1600,2,9,4.5,0.8143415700600675,0.03731751852320797,0.012638430073454054,5.791609635445745e-4
Glycine betaine,200605_Smp_GBTFate1MT8-pos_B,Glycine betaine_13C-1 15N-0,7.98,56056808,1018105,3371599,HILICPos,0,1,200605,Smp,GBTFate1MT8,pos,B,8,Fate1,ok,ok,ok,ok,all ok,56056808,119.090158,7.86,HILIC,562824,55493984,55493984,3453940543,0.016066861403410092,1600,2,9,4.5,1.1177663241327487,0.051222075648631266,0.017958996611240036,8.229779902415457e-4
Glycine betaine,200605_Smp_GBTFate1MT8-pos_C,Glycine betaine_13C-1 15N-0,7.99,71229616,2342642,4136034,HILICPos,0,1,200605,Smp,GBTFate1MT8,pos,C,8,Fate1,ok,ok,ok,ok,all ok,71229616,119.090158,7.86,HILIC,562824,70666792,70666792,4061483873,0.01739925460981881,1600,2,9,4.5,1.3297617354890288,0.06093684765706445,0.023136863006168143,0.001060255727505005
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_A,Glycine betaine_13C-1 15N-0,7.98,68268800,1788634,3905398,HILICPos,0,1,200605,Smp,GBTFate1MTlong,pos,A,96,Fate1,ok,ok,ok,ok,all ok,68268800,119.090158,7.86,HILIC,562824,67705976,67705976,9850634590,0.006873260334794329,800,1.9,98,48,3.2138423514111882,0.14727557316103954,0.02208957515623666,0.0010122633552918734
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_B,Glycine betaine_13C-1 15N-0,8.01,72179440,2116627,4695162,HILICPos,0,1,200605,Smp,GBTFate1MTlong,pos,B,96,Fate1,ok,ok,ok,ok,all ok,72179440,119.090158,7.86,HILIC,562824,71616616,71616616,10695325516,0.006696066977378382,800,1.8,98,48,3.9961915849558793,0.18312703044605574,0.02675876650730044,0.0012262308612351993
Glycine betaine,200605_Smp_GBTFate1MTlong-pos_C,Glycine betaine_13C-1 15N-0,8.03,93368400,1704730,5240688,HILICPos,0,1,200605,Smp,GBTFate1MTlong,pos,C,96,Fate1,ok,ok,ok,ok,all ok,93368400,119.090158,7.86,HILIC,562824,92805576,92805576,14009136281,0.006624646526272164,800,2,98,48,4.5695424208749476,0.20940105504009482,0.03027160332510252,0.0013872079718690905
Glycine betaine,200605_Smp_GBTFate2MT0-pos_A,Glycine betaine_13C-1 15N-0,7.98,82101560,1904860,5057634,HILICPos,0,1,200605,Smp,GBTFate2MT0,pos,A,0,Fate2,ok,ok,ok,ok,all ok,82101560,119.090158,7.86,HILIC,562824,81538736,81538736,1896092748,0.043003558811143136,700,2,0.3,0,0.6581653957833515,0.030160684719396123,0.028303454305028657,0.0012970167791148972
Glycine betaine,200605_Smp_GBTFate2MT0-pos_B,Glycine betaine_13C-1 15N-0,8.01,81520720,2053576,4975521,HILICPos,0,1,200605,Smp,GBTFate2MT0,pos,B,0,Fate2,ok,ok,ok,ok,all ok,81520720,119.090158,7.86,HILIC,562824,80957896,80957896,1949568457,0.041526059630949394,700,2,0.3,0,0.6843021363424275,0.03135841100012333,0.02841637131934171,0.001302191245122941
Glycine betaine,200605_Smp_GBTFate2MT0-pos_C,Glycine betaine_13C-1 15N-0,7.96,57143900,1911385,3543841,HILICPos,0,1,200605,Smp,GBTFate2MT0,pos,C,0,Fate2,ok,ok,ok,ok,all ok,57143900,119.090158,7.86,HILIC,562824,56581076,56581076,1358236514,0.041657749159878646,700,2,0.3,0,0.47435566327627077,0.021737532384101574,0.019760589233330746,9.055366714116422e-4
Glycine betaine,200605_Smp_GBTFate2MT12-pos_A,Glycine betaine_13C-1 15N-0,7.95,46222960,1774156,2737577,HILICPos,0,1,200605,Smp,GBTFate2MT12,pos,A,12,Fate2,ok,ok,ok,ok,all ok,46222960,119.090158,7.86,HILIC,562824,45660136,45660136,3866920690,0.011807880135240116,1900,2,13,7,1.2168564699758444,0.05576292004233492,0.014368495339266183,6.584418758508694e-4
Glycine betaine,200605_Smp_GBTFate2MT12-pos_B,Glycine betaine_13C-1 15N-0,7.96,47731184,2382732,3105435,HILICPos,0,1,200605,Smp,GBTFate2MT12,pos,B,12,Fate2,ok,ok,ok,ok,all ok,47731184,119.090158,7.86,HILIC,562824,47168360,47168360,4805483349,0.009815528756293688,1900,2,13,7,1.5187788803841433,0.06959863168622438,0.014907617774862091,6.831473707148285e-4
Glycine betaine,200605_Smp_GBTFate2MT12-pos_C,Glycine betaine_13C-1 15N-0,8.01,45842104,1689129,2676709,HILICPos,0,1,200605,Smp,GBTFate2MT12,pos,C,12,Fate2,ok,ok,ok,ok,all ok,45842104,119.090158,7.86,HILIC,562824,45279280,45279280,3991647111,0.011343507765308566,1900,2,13,7,1.253344034731659,0.05743497685940425,0.01421731779058174,6.515141060049698e-4
Glycine betaine,200605_Smp_GBTFate2MT24-pos_A,Glycine betaine_13C-1 15N-0,7.99,37340972,1546463,2335674,HILICPos,0,1,200605,Smp,GBTFate2MT24,pos,A,24,Fate2,ok,ok,ok,ok,all ok,37340972,119.090158,7.86,HILIC,562824,36778148,36778148,4411979127,0.008335975067272797,700,2,25,12,1.484464650151627,0.0680261687672344,0.012374460311911799,5.670644467657575e-4
Glycine betaine,200605_Smp_GBTFate2MT24-pos_B,Glycine betaine_13C-1 15N-0,7.95,48323112,1765348,2696782,HILICPos,0,1,200605,Smp,GBTFate2MT24,pos,B,24,Fate2,ok,ok,ok,ok,all ok,48323112,119.090158,7.86,HILIC,562824,47760288,47760288,6232642520,0.007662927537836712,700,2,25,12,1.9003603435931633,0.08708475034324573,0.014562323608732886,6.673241315308927e-4
Glycine betaine,200605_Smp_GBTFate2MT24-pos_C,Glycine betaine_13C-1 15N-0,7.99,47171724,2115443,2967566,HILICPos,0,1,200605,Smp,GBTFate2MT24,pos,C,24,Fate2,ok,ok,ok,ok,all ok,47171724,119.090158,7.86,HILIC,562824,46608900,46608900,5813655157,0.008017142183584798,700,2,25,12,1.8894195807644454,0.0865833856401168,0.015147745423437739,6.941513134129707e-4
Glycine betaine,200605_Smp_GBTFate2MT48-pos_A,Glycine betaine_13C-1 15N-0,7.96,45330956,1999892,2823688,HILICPos,0,1,200605,Smp,GBTFate2MT48,pos,A,48,Fate2,ok,ok,ok,ok,all ok,45330956,119.090158,7.86,HILIC,562824,44768132,44768132,5761912670,0.007769665137948021,900,2,51,26,1.780396199417159,0.0815873468739882,0.013833082282346655,0.00063390636470449875
Glycine betaine,200605_Smp_GBTFate2MT48-pos_B,Glycine betaine_13C-1 15N-0,8,40856724,1902353,2387446,HILICPos,0,1,200605,Smp,GBTFate2MT48,pos,B,48,Fate2,ok,ok,ok,ok,all ok,40856724,119.090158,7.86,HILIC,562824,40293900,40293900,7017527197,0.005741894383711927,900,2,51,26,2.3208271553496553,0.10635280519025508,0.013325944408868313,6.106665748139343e-4
Glycine betaine,200605_Smp_GBTFate2MT48-pos_C,Glycine betaine_13C-1 15N-0,7.95,52551032,1746142,3122908,HILICPos,0,1,200605,Smp,GBTFate2MT48,pos,C,48,Fate2,ok,ok,ok,ok,all ok,52551032,119.090158,7.86,HILIC,562824,51988208,51988208,7415374127,0.007010867841543769,900,2,51,26,2.253467142919579,0.10326600647580719,0.015798760324270394,7.239843239258873e-4
Glycine betaine,200605_Smp_GBTFate2MT5-pos_A,Glycine betaine_13C-1 15N-0,8.01,29305512,1379949,1738124,HILICPos,0,1,200605,Smp,GBTFate2MT5,pos,A,5,Fate2,ok,ok,ok,ok,all ok,29305512,119.090158,7.86,HILIC,562824,28742688,28742688,2365046706,0.012153116438284834,1300,2,6,5.75,0.823149447946153,0.03772114294599152,0.010003831086999478,4.584294424078216e-4
Glycine betaine,200605_Smp_GBTFate2MT5-pos_B,Glycine betaine_13C-1 15N-0,7.93,53725356,1985617,3171905,HILICPos,0,1,200605,Smp,GBTFate2MT5,pos,B,5,Fate2,ok,ok,ok,ok,all ok,53725356,119.090158,7.86,HILIC,562824,53162532,53162532,4361279685,0.012189663548257396,1300,2,6,5.75,1.3939611934709615,0.06387881273720147,0.016991917947738355,7.786612351286251e-4
Glycine betaine,200605_Smp_GBTFate2MT5-pos_C,Glycine betaine_13C-1 15N-0,7.98,33299218,1765016,2040696,HILICPos,0,1,200605,Smp,GBTFate2MT5,pos,C,5,Fate2,ok,ok,ok,ok,all ok,33299218,119.090158,7.86,HILIC,562824,32736394,32736394,2867442665,0.011416581890051496,1300,2,6,5.75,0.8580203448942914,0.03931911533328724,0.009795659530815905,4.488899000468532e-4
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_A,Glycine betaine_13C-1 15N-0,7.96,41325336,1880046,2706094,HILICPos,0,1,200605,Smp,GBTFate2MTlong,pos,A,96,Fate2,ok,ok,ok,ok,all ok,41325336,119.090158,7.86,HILIC,562824,40762512,40762512,6626422340,0.006151511314625925,1000,2,100,49,2.209071236614829,0.10123154683774656,0.013589126706850804,6.227270057694822e-4
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_B,Glycine betaine_13C-1 15N-0,7.98,32508910,1695217,1922468,HILICPos,0,1,200605,Smp,GBTFate2MTlong,pos,B,96,Fate2,ok,ok,ok,ok,all ok,32508910,119.090158,7.86,HILIC,562824,31946086,31946086,6364756511,0.005019215730372188,1000,2,100,49,2.0969638312654117,0.09609418147469986,0.010525113847908885,4.8231742725505323e-4
Glycine betaine,200605_Smp_GBTFate2MTlong-pos_C,Glycine betaine_13C-1 15N-0,8.01,34533912,1443709,2010616,HILICPos,0,1,200605,Smp,GBTFate2MTlong,pos,C,96,Fate2,ok,ok,ok,ok,all ok,34533912,119.090158,7.86,HILIC,562824,33971088,33971088,6258701003,0.005427817686723898,1000,2,100,49,1.9351222060015731,0.08867772618043818,0.010503490535707505,4.8132653058064124e-4
Glycine betaine,200605_Smp_GBTFate1MT0-pos_A,Glycine betaine_13C-1 15N-1,7.93,112677,0,15501,HILICPos,1,1,200605,Smp,GBTFate1MT0,pos,A,0,Fate1,ok,ok,ok,ok,all ok,112677,120.087194,7.86,HILIC,1074,111603,111603,1416111462,7.880947439150097e-5,900,2,0.5,0,0.46883913404280114,0.021484735290814735,3.694896572807963e-5,1.693200695709641e-6
Glycine betaine,200605_Smp_GBTFate1MT0-pos_B,Glycine betaine_13C-1 15N-1,8,141605,0,16738,HILICPos,1,1,200605,Smp,GBTFate1MT0,pos,B,0,Fate1,ok,ok,ok,ok,all ok,141605,120.087194,7.86,HILIC,1074,140531,140531,1582791441,8.878680814145241e-5,900,2,0.5,0,0.5416364454577615,0.02482070034165592,4.809017116527652e-5,2.2037507591710864e-6
Glycine betaine,200605_Smp_GBTFate1MT0-pos_C,Glycine betaine_13C-1 15N-1,8.07,211436,0,16572,HILICPos,1,1,200605,Smp,GBTFate1MT0,pos,C,0,Fate1,ok,ok,ok,ok,all ok,211436,120.087194,7.86,HILIC,1074,210362,210362,2384071873,8.823643380150729e-5,900,1.95,0.5,0,0.8268328671124805,0.03788993705895573,7.295678354388086e-5,3.343272923045825e-6
Glycine betaine,200605_Smp_GBTFate1MT12-pos_A,Glycine betaine_13C-1 15N-1,7.93,80051,0,19529,HILICPos,1,1,200605,Smp,GBTFate1MT12,pos,A,12,Fate1,ok,ok,ok,ok,all ok,80051,120.087194,7.86,HILIC,1074,78977,78977,4370402808,1.807087434948399e-5,1930,2,12.5,3.5,1.3172142302747538,0.06036185336048296,2.3803212846647346e-5,1.0907914675792656e-6
Glycine betaine,200605_Smp_GBTFate1MT12-pos_B,Glycine betaine_13C-1 15N-1,7.92,32630,0,9704,HILICPos,1,1,200605,Smp,GBTFate1MT12,pos,B,12,Fate1,ok,ok,ok,ok,all ok,32630,120.087194,7.86,HILIC,1074,31556,31556,3081739350,1.0239671956682514e-5,1930,2,12.5,3.5,1.041704299592832,0.047736503851686554,1.0666710303696323e-5,4.888061398001816e-7
Glycine betaine,200605_Smp_GBTFate1MT12-pos_C,Glycine betaine_13C-1 15N-1,8.02,52092,0,13420,HILICPos,1,1,200605,Smp,GBTFate1MT12,pos,C,12,Fate1,ok,ok,ok,ok,all ok,52092,120.087194,7.86,HILIC,1074,51018,51018,3418932086,1.4922203400562078e-5,1930,2,12.5,3.5,1.0876936292472323,0.04984398273320971,1.623078557312276e-5,7.437820486390595e-7
Glycine betaine,200605_Smp_GBTFate1MT36-pos_A,Glycine betaine_13C-1 15N-1,8.08,62703,0,18648,HILICPos,1,1,200605,Smp,GBTFate1MT36,pos,A,36,Fate1,ok,ok,ok,ok,all ok,62703,120.087194,7.86,HILIC,1074,61629,61629,8042021606,7.663371602237399e-6,1900,2,36,23.5,2.603777343824155,0.11931910740022758,1.9953713355211155e-5,9.143866592552183e-7
Glycine betaine,200605_Smp_GBTFate1MT36-pos_B,Glycine betaine_13C-1 15N-1,8.02,87325,0,26187,HILICPos,1,1,200605,Smp,GBTFate1MT36,pos,B,36,Fate1,ok,ok,ok,ok,all ok,87325,120.087194,7.86,HILIC,1074,86251,86251,7951864951,1.0846637931036965e-5,1900,2,36,23.5,2.691209204120955,0.12332570633377299,2.9190571833774153e-5,1.3376692841918279e-6
Glycine betaine,200605_Smp_GBTFate1MT36-pos_C,Glycine betaine_13C-1 15N-1,8.01,55180,0,34640,HILICPos,1,1,200605,Smp,GBTFate1MT36,pos,C,36,Fate1,ok,ok,ok,ok,all ok,55180,120.087194,7.86,HILIC,1074,54106,54106,10312259693,5.246764686960643e-6,1900,2,36,23.5,3.2427091296512245,0.14859840447812236,1.7013731751538928e-5,7.796608611545068e-7
Glycine betaine,200605_Smp_GBTFate1MT4-pos_A,Glycine betaine_13C-1 15N-1,8.02,47838,0,11440,HILICPos,1,1,200605,Smp,GBTFate1MT4,pos,A,4,Fate1,ok,ok,ok,ok,all ok,47838,120.087194,7.86,HILIC,1074,46764,46764,1887726747,2.4772653178919016e-5,1200,2,4.5,4.25,0.6318983026278011,0.02895698498034095,1.565379749534613e-5,7.173413460251534e-7
Glycine betaine,200605_Smp_GBTFate1MT4-pos_B,Glycine betaine_13C-1 15N-1,7.99,92240,0,17113,HILICPos,1,1,200605,Smp,GBTFate1MT4,pos,B,4,Fate1,ok,ok,ok,ok,all ok,92240,120.087194,7.86,HILIC,1074,91166,91166,3258720826,2.7976008031318237e-5,1200,2,4.5,4.25,1.0346583424523355,0.04741362013093432,2.8945610098116953e-5,1.3264438175768908e-6
